id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
40767,SK-271,small_airport,"Andalucía Airport",3.988056,-73.299444,784,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,VVM,,,,50,2009-10-20T10:45:46+00:00
40773,SK-279,small_airport,"El Convento Airport",4.026944,-73.355556,843,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,VIC,,,,50,2009-10-20T10:45:47+00:00
40774,SK-303,small_airport,"La Esmeralda Airport",4.088333,-73.367778,924,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,LEM,,,,50,2009-10-20T10:45:49+00:00
40779,SK-311,small_airport,"La Realidad Airport",3.999167,-73.376389,871,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,VCI,,,,50,2009-10-20T10:45:50+00:00
40780,SK-301,small_airport,"La Colina Airport",4.064167,-73.383611,1019,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,LAM,,,,50,2009-10-20T10:45:49+00:00
40785,SK-315,small_airport,"Las Brisas Airport",4.0625,-73.412222,1007,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,VVD,,,,50,2009-10-20T10:45:51+00:00
40923,SK-231,small_airport,"Berlín Airport",3.4025,-75.173611,1145,SA,Colombia,CO,"Huila Department",CO-HUI,HUI,Villavieja,0,,,,BJA,,,,50,2009-10-20T10:45:43+00:00
40924,SK-246,small_airport,"Sinai Airport",3.332222,-75.186111,1214,SA,Colombia,CO,"Huila Department",CO-HUI,HUI,Villavieja,0,,,,VVJ,,,,50,2009-10-20T10:45:45+00:00
40835,SK-355,small_airport,"Vista Hermosa Airport",3.146667,-73.771111,909,SA,Colombia,CO,"Meta Department",CO-MET,MET,"Vista Hermosa",0,,,,VIH,,,,50,2009-10-20T10:45:53+00:00
40938,SK-238,small_airport,"La Floresta Airport",2.629722,-75.576111,2090,SA,Colombia,CO,"Huila Department",CO-HUI,HUI,Yaguara,0,,,,LFT,,,,50,2009-10-20T10:45:44+00:00
41029,SK-047,small_airport,"Yari Airport",-0.383333,-72.266667,569,SA,Colombia,CO,"Caquetá Department",CO-CAQ,CAQ,Yari,0,,,AYI,AYI,,,,50,2012-06-24T18:05:01+00:00
41018,SK-510,small_airport,"Yavarate Airport",0.611772,-69.207369,349,SA,Colombia,CO,"Vaupés Department",CO-VAU,VAU,Yavarate,0,,,VAB,VAB,,,,50,2025-01-10T12:38:38+00:00
